ID	SzamlaSzam	DevizaNem	ErtekNap	TranzakcioTipus	PartnerNeve	PartnerSzamlaszama	Osszeg	Kozlemeny	_Besorolas
1	11718011-01234028-51450007	HUF	11/23/2012		Szamlanyitas	01234567-98765432	0		0
2	11718011-01234028-51450007	HUF	11/23/2012		CASH DEPOSIT NAGY GEZANE	01234567-98765432	12600		3
3	11718011-01234028-51450007	HUF	11/23/2012		CASHIER TRANSACTION FEES CAK-LCD/1159/A/0018	01234567-98765432	-100		101
4	11718011-01234028-51450007	HUF	11/30/2012		Havi zarlati dij	01234567-98765432	-990		101
5	11718011-01234028-51450007	HUF	11/30/2012		Konyvelesi teteldij	01234567-98765432	-10		101
6	11718011-01234028-51450007	HUF	12/3/2012		CASH DEPOSIT Bond Jakab	01234567-98765432	12600		9
7	11718011-01234028-51450007	HUF	12/3/2012		CASHIER TRANSACTION FEES CAK-LCD/1159/A/0023	01234567-98765432	-100		101
8	11718011-01234028-51450007	HUF	12/10/2012		CASH DEPOSIT Szabo Tibor  kozosktg	01234567-98765432	18900		6
9	11718011-01234028-51450007	HUF	12/10/2012		CASHIER TRANSACTION FEES CAK-LCD/1159/A/0027	01234567-98765432	-100		101
10	11718011-01234028-51450007	HUF	12/14/2012		Balogh Gabor DR +IZV 00000000-31988667401	01234567-98765432	18900		4
11	11718011-01234028-51450007	HUF	12/28/2012		Int.Appl. to   31/12/12	01234567-98765432	10.77		102
12	11718011-01234028-51450007	HUF	12/28/2012		CRT to         31/12/12	01234567-98765432	-1.72		101
13	11718011-01234028-51450007	HUF	12/28/2012		Havi zarlati dij	01234567-98765432	-990		101
14	11718011-01234028-51450007	HUF	12/28/2012		Konyvelesi teteldij	01234567-98765432	-30		101
15	11718011-01234028-51450007	HUF	1/17/2013		CASH DEPOSIT Lopez Jennifer kozos	01234567-98765432	12000		8
16	11718011-01234028-51450007	HUF	1/17/2013		CASHIER TRANSACTION FEES CAK-LCD/1179/A/0022	01234567-98765432	-100		101
17	11718011-01234028-51450007	HUF	1/24/2013		CASH DEPOSIT SZABO Tibor KKTG 3 HO	01234567-98765432	18900		6
18	11718011-01234028-51450007	HUF	1/24/2013		CASHIER TRANSACTION FEES CAK-LCD/1159/A/0021	01234567-98765432	-100		101
19	11718011-01234028-51450007	HUF	1/31/2013		Havi zarlati dij	01234567-98765432	-990		101
20	11718011-01234028-51450007	HUF	1/31/2013		Konyvelesi teteldij	01234567-98765432	-20		101
21	11718011-01234028-51450007	HUF	1/31/2013		Konyvelesi teteldij-PTI	01234567-98765432	-2.42		101
22	11718011-01234028-51450007	HUF	2/7/2013		+IZV 00016144061 Balogh Gabor DR	01234567-98765432	6300		4
23	11718011-01234028-51450007	HUF	2/15/2013		CASH DEPOSIT NAGY GEZANE	01234567-98765432	18900		3
24	11718011-01234028-51450007	HUF	2/15/2013		CASHIER TRANSACTION FEES CAK-LCD/1159/A/0012	01234567-98765432	-100		101
25	11718011-01234028-51450007	HUF	2/25/2013		+IZV 00017382679 Smith Pal	01234567-98765432	25200		1
26	11718011-01234028-51450007	HUF	2/28/2013		Havi zarlati dij	01234567-98765432	-990		101
27	11718011-01234028-51450007	HUF	2/28/2013		Konyvelesi teteldij	01234567-98765432	-30		101
28	11718011-01234028-51450007	HUF	2/28/2013		Konyvelesi teteldij-PTI	01234567-98765432	-2.24		101
29	11718011-01234028-51450007	HUF	3/7/2013		+IZV 00018269932 Balogh Gabor DR	01234567-98765432	6300		4
30	11718011-01234028-51450007	HUF	3/21/2013		CASH DEPOSIT Bond Jakab	01234567-98765432	18900		9
31	11718011-01234028-51450007	HUF	3/21/2013		CASHIER TRANSACTION FEES CAK-LCD/1159/A/0019	01234567-98765432	-100		101
32	11718011-01234028-51450007	HUF	3/29/2013		Int.Appl. to   31/03/13	01234567-98765432	75.92		102
33	11718011-01234028-51450007	HUF	3/29/2013		CRT to         31/03/13	01234567-98765432	-12.15		101
34	11718011-01234028-51450007	HUF	3/29/2013		Havi zarlati dij	01234567-98765432	-990		101
35	11718011-01234028-51450007	HUF	3/29/2013		Konyvelesi teteldij	01234567-98765432	-20		101
36	11718011-01234028-51450007	HUF	3/29/2013		Konyvelesi teteldij-PTI	01234567-98765432	-2.22		101
37	11718011-01234028-51450007	HUF	4/8/2013		+IZV 00020582245 Balogh Gabor DR	01234567-98765432	6300		4
38	11718011-01234028-51450007	HUF	4/16/2013		+IZV 00021368416 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
39	11718011-01234028-51450007	HUF	4/17/2013		CASH DEPOSIT 2013.APR.MAJ.JUN. HO	01234567-98765432	18900		3
40	11718011-01234028-51450007	HUF	4/17/2013		CASHIER TRANSACTION FEES CAK-LCD/1159/A/0020	01234567-98765432	-100		101
41	11718011-01234028-51450007	HUF	4/30/2013		Havi zarlati dij	01234567-98765432	-990		101
42	11718011-01234028-51450007	HUF	4/30/2013		Konyvelesi teteldij	01234567-98765432	-30		101
43	11718011-01234028-51450007	HUF	4/30/2013		Konyvelesi teteldij-PTI	01234567-98765432	-2.24		101
44	11718011-01234028-51450007	HUF	5/7/2013		+IZV 00022741017 Balogh Gabor DR	01234567-98765432	6300		4
45	11718011-01234028-51450007	HUF	5/16/2013		+IZV 00023672219 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
46	11718011-01234028-51450007	HUF	5/31/2013		Havi zarlati dij	01234567-98765432	-990		101
47	11718011-01234028-51450007	HUF	5/31/2013		Konyvelesi teteldij	01234567-98765432	-20		101
48	11718011-01234028-51450007	HUF	5/31/2013		Konyvelesi teteldij-PTI	01234567-98765432	-2.02		101
49	11718011-01234028-51450007	HUF	6/7/2013		+IZV 00025195833 Balogh Gabor DR	01234567-98765432	6300		4
50	11718011-01234028-51450007	HUF	6/17/2013		+IZV 00025966143 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
51	11718011-01234028-51450007	HUF	6/28/2013		Int.Appl. to   30/06/13	01234567-98765432	161.08		102
52	11718011-01234028-51450007	HUF	6/28/2013		CRT to         30/06/13	01234567-98765432	-25.77		101
53	11718011-01234028-51450007	HUF	6/28/2013		Havi zarlati dij	01234567-98765432	-990		101
54	11718011-01234028-51450007	HUF	6/28/2013		Konyvelesi teteldij	01234567-98765432	-20		101
55	11718011-01234028-51450007	HUF	6/28/2013		Konyvelesi teteldij-PTI	01234567-98765432	-2.02		101
56	11718011-01234028-51450007	HUF	7/8/2013		+IZV 00027438651 Balogh Gabor DR	01234567-98765432	6300		4
57	11718011-01234028-51450007	HUF	7/10/2013		CASH DEPOSIT 2013. JUL.AUG. SZEPT.HO	01234567-98765432	18900		3
58	11718011-01234028-51450007	HUF	7/10/2013		CASHIER TRANSACTION FEES CAK-LCD/1159/A/0015	01234567-98765432	-100		101
59	11718011-01234028-51450007	HUF	7/16/2013		+IZV 00028222790 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
60	11718011-01234028-51450007	HUF	7/31/2013		Havi zarlati dij	01234567-98765432	-990		101
61	11718011-01234028-51450007	HUF	7/31/2013		Konyvelesi teteldij	01234567-98765432	-30		101
62	11718011-01234028-51450007	HUF	7/31/2013		Konyvelesi teteldij-PTI	01234567-98765432	-2.24		101
63	11718011-01234028-51450007	HUF	8/7/2013		+IZV 00029667019 Balogh Gabor DR	01234567-98765432	6300		4
64	11718011-01234028-51450007	HUF	8/16/2013		+IZV 00030518189 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
65	11718011-01234028-51450007	HUF	8/21/2013		+IZV 00030614868 Smith Pal	01234567-98765432	50400		1
66	11718011-01234028-51450007	HUF	8/27/2013		CASH DEPOSIT Szabo Tibor kozosktg.	01234567-98765432	56700		6
67	11718011-01234028-51450007	HUF	8/27/2013		CASHIER TRANSACTION FEES CAK-LCD/1159/A/0021	01234567-98765432	-100		101
68	11718011-01234028-51450007	HUF	8/30/2013		Havi zarlati dij	01234567-98765432	-990		101
69	11718011-01234028-51450007	HUF	8/30/2013		Konyvelesi teteldij	01234567-98765432	-40		101
70	11718011-01234028-51450007	HUF	8/30/2013		Konyvelesi teteldij-PTI	01234567-98765432	-3.4		101
71	11718011-01234028-51450007	HUF	9/5/2013		CASH WITHDRAWAL CAK-LCW/1159/A/0004	01234567-98765432	-200000		111
72	11718011-01234028-51450007	HUF	9/5/2013		CASHIER TRANSACTION FEES CAK-LCW/1159/A/0004	01234567-98765432	-400		101
73	11718011-01234028-51450007	HUF	9/9/2013		+IZV 00031946931 Balogh Gabor DR	01234567-98765432	6300		4
74	11718011-01234028-51450007	HUF	9/16/2013		+IZV 00032645950 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
75	11718011-01234028-51450007	HUF	9/30/2013		Int.Appl. to   30/09/13	01234567-98765432	205.53		102
76	11718011-01234028-51450007	HUF	9/30/2013		CRT to         30/09/13	01234567-98765432	-32.88		101
77	11718011-01234028-51450007	HUF	9/30/2013		Havi zarlati dij	01234567-98765432	-990		101
78	11718011-01234028-51450007	HUF	9/30/2013		Konyvelesi teteldij	01234567-98765432	-30		101
79	11718011-01234028-51450007	HUF	9/30/2013		Konyvelesi teteldij-PTI	01234567-98765432	-7.87		101
80	11718011-01234028-51450007	HUF	9/30/2013		Konyvelesi teteldij-PTIKP	01234567-98765432	-1200		101
81	11718011-01234028-51450007	HUF	10/3/2013		+IZV 00033787220 Smith Pal	01234567-98765432	6300		1
82	11718011-01234028-51450007	HUF	10/7/2013		+IZV 00034075662 Balogh Gabor DR	01234567-98765432	6300		4
83	11718011-01234028-51450007	HUF	10/14/2013		CASH DEPOSIT 2013. okt-nov-dec kozosk.	01234567-98765432	18900		3
84	11718011-01234028-51450007	HUF	10/14/2013		CASHIER TRANSACTION FEES CAK-LCD/1159/A/0008	01234567-98765432	-100		101
85	11718011-01234028-51450007	HUF	10/16/2013		+IZV 00035028964 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
86	11718011-01234028-51450007	HUF	10/31/2013		Havi zarlati dij	01234567-98765432	-990		101
87	11718011-01234028-51450007	HUF	10/31/2013		Konyvelesi teteldij	01234567-98765432	-40		101
88	11718011-01234028-51450007	HUF	10/31/2013		Konyvelesi teteldij-PTI	01234567-98765432	-3.4		101
89	11718011-01234028-51450007	HUF	11/7/2013		+IZV 00036490767 Balogh Gabor DR	01234567-98765432	6300		4
90	11718011-01234028-51450007	HUF	11/18/2013		+IZV 00037445742 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
91	11718011-01234028-51450007	HUF	11/29/2013		Havi zarlati dij	01234567-98765432	-990		101
92	11718011-01234028-51450007	HUF	11/29/2013		Konyvelesi teteldij	01234567-98765432	-20		101
93	11718011-01234028-51450007	HUF	11/29/2013		Konyvelesi teteldij-PTI	01234567-98765432	-3.04		101
94	11718011-01234028-51450007	HUF	12/7/2013		+IZV 00039022627 Balogh Gabor DR	01234567-98765432	6300		4
95	11718011-01234028-51450007	HUF	12/12/2013		+IZV 00039559330 Smith Pal	01234567-98765432	12600		1
96	11718011-01234028-51450007	HUF	12/16/2013		+IZV 00039839276 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
97	11718011-01234028-51450007	HUF	12/31/2013		Int.Appl. to   31/12/13	01234567-98765432	185.41		102
98	11718011-01234028-51450007	HUF	12/31/2013		CRT to         31/12/13	01234567-98765432	-29.67		101
99	11718011-01234028-51450007	HUF	12/31/2013		Havi zarlati dij	01234567-98765432	-990		101
100	11718011-01234028-51450007	HUF	12/31/2013		Konyvelesi teteldij	01234567-98765432	-30		101
101	11718011-01234028-51450007	HUF	12/31/2013		Konyvelesi teteldij-PTI	01234567-98765432	-3.07		101
102	11718011-01234028-51450007	HUF	1/7/2014		+IZV 00041203199 Balogh Gabor DR	01234567-98765432	6300		4
103	11718011-01234028-51450007	HUF	1/16/2014		+IZV 00042165769 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
104	11718011-01234028-51450007	HUF	1/21/2014		CASH DEPOSIT NAGY GEZANE	01234567-98765432	18900		3
105	11718011-01234028-51450007	HUF	1/21/2014		CASHIER TRANSACTION FEES CAK-LCD/1159/A/0029	01234567-98765432	-100		101
106	11718011-01234028-51450007	HUF	1/31/2014		Havi zarlati dij	01234567-98765432	-990		101
107	11718011-01234028-51450007	HUF	1/31/2014		Konyvelesi teteldij	01234567-98765432	-30		101
108	11718011-01234028-51450007	HUF	1/31/2014		Konyvelesi teteldij-PTI	01234567-98765432	-3.37		101
109	11718011-01234028-51450007	HUF	2/7/2014		+IZV 00043700508 Balogh Gabor DR	01234567-98765432	6300		4
110	11718011-01234028-51450007	HUF	2/17/2014		+IZV 00044536073 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
111	11718011-01234028-51450007	HUF	2/28/2014		Havi zarlati dij	01234567-98765432	-990		101
